Type	Start	End	Locus_tag	Old_locus_tag	Product	Strand
CDS	-200	772	SGL_RS01875	slr0611	prenyltransferase	+
CDS	811	1494	SGL_RS01880	slr0612	hypothetical protein	+
CDS	1577	2098	SGL_RS01885	slr0613	hypothetical protein	+
CDS	2172	2873	SGL_RS01890	sll0558	Ycf53-like protein	-
CDS	3192	4268	SGL_RS01895	sll1214	magnesium-protoporphyrin IX monomethyl ester	-
CDS	4451	5389	SGL_RS01900	sll1213	GDP-L-fucose synthase	-
CDS	5534	6622	SGL_RS01905	sll1212	GDP-mannose 4,6-dehydratase	-
CDS	7229	8311	SGL_RS01910	slr1311	photosystem II protein D1 2	+
CDS	8492	10471	SGL_RS01915	slr1312	arginine decarboxylase	+
CDS	10622	12631	SGL_RS01920	sll1209	DNA ligase (NAD(+)) LigA	-
CDS	12755	13363	SGL_RS01925	slr1315	hypothetical protein	+
CDS	13498	14529	SGL_RS01930	slr1316	iron ABC transporter permease	+
CDS	14626	15675	SGL_RS01935	slr1317	iron ABC transporter permease	+
CDS	15937	16743	SGL_RS01940	slr1318	ABC transporter ATP-binding protein	+
CDS	16740	17687	SGL_RS01945	slr1319	iron-siderophore ABC transporter	+
CDS	17853	20408	SGL_RS01950	sll1206	ligand-gated channel	-
CDS	20615	21595	SGL_RS01955	sll1205	AraC family transcriptional regulator	-
CDS	21838	23121	SGL_RS01960	sll1204	MFS transporter	-
CDS	23139	24104	SGL_RS01965	sll1203	sucrase ferredoxin	-
CDS	24101	25144	SGL_RS01970	sll1202	iron-siderophore ABC transporter	-
CDS	25266	27857	SGL_RS01975	sll1409	TonB-dependent siderophore receptor	-
CDS	27990	29030	SGL_RS01980	sll1408	AraC family transcriptional regulator	-
CDS	29098	29895	SGL_RS01985	sll1407	SAM-dependent methyltransferase	-
CDS	29968	32454	SGL_RS01990	sll1406	TonB-dependent siderophore receptor	-
CDS	32524	32952	SGL_RS01995	sll1405	biopolymer transporter ExbD	-
CDS	32912	33544	SGL_RS02000	sll1404	biopolymer transporter ExbB	-
CDS	33891	35489	SGL_RS02005	slr1484	hypothetical protein	+
CDS	35566	36615	SGL_RS02010	slr1485	hypothetical protein	+
CDS	36721	38538	SGL_RS02015	slr1488	ABC transporter ATP-binding protein	+
CDS	38644	39636	SGL_RS02020	slr1489	AraC family transcriptional regulator	+
CDS	39802	42363	SGL_RS02025	slr1490	TonB-dependent siderophore receptor	+
