NC_000911.1	Type	Start	End	Locus_tag	Old_locus_tag	Product	Strand
NC_000911.1	CDS	-200	772	SGL_RS01875	slr0611	prenyltransferase	+
NC_000911.1	CDS	811	1494	SGL_RS01880	slr0612	hypothetical protein	+
NC_000911.1	CDS	1577	2098	SGL_RS01885	slr0613	hypothetical protein	+
NC_000911.1	CDS	2172	2873	SGL_RS01890	sll0558	Ycf53-like protein	-
NC_000911.1	CDS	3192	4268	SGL_RS01895	sll1214	magnesium-protoporphyrin IX monomethyl ester	-
NC_000911.1	CDS	4451	5389	SGL_RS01900	sll1213	GDP-L-fucose synthase	-
NC_000911.1	CDS	5534	6622	SGL_RS01905	sll1212	GDP-mannose 4,6-dehydratase	-
NC_000911.1	CDS	7229	8311	SGL_RS01910	slr1311	photosystem II protein D1 2	+
NC_000911.1	CDS	8492	10471	SGL_RS01915	slr1312	arginine decarboxylase	+
NC_000911.1	CDS	10622	12631	SGL_RS01920	sll1209	DNA ligase (NAD(+)) LigA	-
NC_000911.1	CDS	12755	13363	SGL_RS01925	slr1315	Uma2 family endonuclease	+
NC_000911.1	CDS	13498	14529	SGL_RS01930	slr1316	iron ABC transporter permease	+
NC_000911.1	CDS	14626	15675	SGL_RS01935	slr1317	iron ABC transporter permease	+
NC_000911.1	CDS	15937	16743	SGL_RS01940	slr1318	ABC transporter ATP-binding protein	+
NC_000911.1	CDS	16740	17687	SGL_RS01945	slr1319	iron-siderophore ABC transporter	+
NC_000911.1	CDS	17853	20408	SGL_RS01950	sll1206	TonB-dependent receptor	-
NC_000911.1	CDS	20615	21595	SGL_RS01955	sll1205	AraC family transcriptional regulator	-
NC_000911.1	CDS	21838	23121	SGL_RS01960	sll1204	MFS transporter	-
NC_000911.1	CDS	23139	24104	SGL_RS01965	sll1203	sucrase ferredoxin	-
NC_000911.1	CDS	24101	25144	SGL_RS01970	sll1202	iron-siderophore ABC transporter	-
NC_000911.1	CDS	25266	27857	SGL_RS01975	sll1409	TonB-dependent siderophore receptor	-
NC_000911.1	CDS	27990	29030	SGL_RS01980	sll1408	AraC family transcriptional regulator	-
NC_000911.1	CDS	29098	29895	SGL_RS01985	sll1407	SAM-dependent methyltransferase	-
NC_000911.1	CDS	29968	32454	SGL_RS01990	sll1406	TonB-dependent siderophore receptor	-
NC_000911.1	CDS	32524	32952	SGL_RS01995	sll1405	biopolymer transporter ExbD	-
NC_000911.1	CDS	32912	33544	SGL_RS02000	sll1404	biopolymer transporter ExbB	-
NC_000911.1	CDS	33891	35489	SGL_RS02005	slr1484	hypothetical protein	+
NC_000911.1	CDS	35566	36615	SGL_RS02010	slr1485	hypothetical protein	+
NC_000911.1	CDS	36721	38538	SGL_RS02015	slr1488	ABC transporter ATP-binding protein	+
NC_000911.1	CDS	38644	39636	SGL_RS02020	slr1489	AraC family transcriptional regulator	+
NC_000911.1	CDS	39802	42363	SGL_RS02025	slr1490	TonB-dependent receptor	+
NC_000911.1	CDS	42405	43397	SGL_RS02030	slr1491	iron-siderophore ABC transporter	+
NC_000911.1	CDS	43571	44506	SGL_RS02035	slr1492	iron-siderophore ABC transporter	+
NC_000911.1	CDS	44442	44885	SGL_RS02040	slr1493	DUF1636 domain-containing protein	+
NC_000911.1	CDS	44948	46789	SGL_RS02045	slr1494	ABC transporter ATP-binding protein	+
NC_000911.1	CDS	47007	48017	SGL_RS02050	sll1401	hypothetical protein	-
NC_000911.1	CDS	48067	48408	SGL_RS02055	sll1400	hypothetical protein	-
NC_000911.1	CDS	48405	48635	SGL_RS02060	ssl2733	DUF433 domain-containing protein	-
NC_000911.1	CDS	48663	49868	SGL_RS02065	sll1399	DUF4336 domain-containing protein	-
NC_000911.1	CDS	49893	50231	SGL_RS02070	sll1398	photosystem II reaction center protein Psb28	-
NC_000911.1	CDS	50246	51895	SGL_RS02075	slr1495	ATP-dependent DNA helicase	+
NC_000911.1	CDS	52023	52364	SGL_RS18630	SGL_RS18630	hypothetical protein	+
NC_000911.1	CDS	52260	53108	SGL_RS18635	SGL_RS18635	IS630 family transposase	-
NC_000911.1	CDS	53453	54127	SGL_RS02085	sll1396	hypothetical protein	-
NC_000911.1	CDS	54533	55657	SGL_RS02090	slr1498	hydrogenase formation protein HypD	+
NC_000911.1	CDS	55669	56550	SGL_RS02095	sll1395	dTDP-4-dehydrorhamnose reductase	-
NC_000911.1	CDS	56556	57224	SGL_RS02100	sll1394	peptide-methionine (S)-S-oxide reductase	-
NC_000911.1	CDS	57340	58815	SGL_RS02105	sll1393	glycogen synthase	-
NC_000911.1	CDS	59039	59650	SGL_RS02110	sll1392	TetR/AcrR family transcriptional regulator	-
NC_000911.1	CDS	59746	60423	SGL_RS02115	slr1501	GNAT family N-acetyltransferase	+
NC_000911.1	CDS	60524	61522	SGL_RS02120	slr1113	ABC transporter ATP-binding protein	+
NC_000911.1	CDS	61834	63591	SGL_RS02125	slr1114	hypothetical protein	+
NC_000911.1	CDS	63588	64361	SGL_RS02130	slr1115	class I SAM-dependent methyltransferase	+
NC_000911.1	CDS	64393	64914	SGL_RS02135	slr1116	damage-inducible protein DinB	+
NC_000911.1	CDS	64987	65748	SGL_RS02140	slr1117	class I SAM-dependent methyltransferase	+
NC_000911.1	CDS	65827	67533	SGL_RS02145	sll1064	metallophosphoesterase	-
NC_000911.1	CDS	67606	68361	SGL_RS02150	slr1118	glycosyltransferase	+
NC_000911.1	CDS	68400	69059	SGL_RS02155	sll1063	tRNA	-
NC_000911.1	CDS	69284	69985	SGL_RS02160	slr1119	hypothetical protein	+
NC_000911.1	CDS	70016	70393	SGL_RS02165	sll1062	hypothetical protein	-
NC_000911.1	CDS	70420	70935	SGL_RS02170	sll1061	hypothetical protein	-
NC_000911.1	CDS	70944	74042	SGL_RS02175	sll1060	hypothetical protein	-
NC_000911.1	CDS	73978	74229	SGL_RS02180	ssl2069	hypothetical protein	-
NC_000911.1	CDS	74498	74785	SGL_RS02185	ssr1853	PepSY domain-containing protein	+
NC_000911.1	CDS	74995	75804	SGL_RS02190	slr1120	type 4 prepilin-like proteins leader	+
NC_000911.1	CDS	75955	76500	SGL_RS02195	sll1059	adenylate kinase	-
NC_000911.1	CDS	76580	77407	SGL_RS02200	sll1058	4-hydroxy-tetrahydrodipicolinate reductase	-
NC_000911.1	CDS	77494	77874	SGL_RS02205	sll1057	thioredoxin	-
NC_000911.1	CDS	77980	78246	SGL_RS02210	SGL_RS02210	DUF2442 domain-containing protein	-
NC_000911.1	CDS	78206	78445	SGL_RS02215	SGL_RS02215	DUF4160 domain-containing protein	-
NC_000911.1	CDS	78467	80773	SGL_RS02220	sll1056	phosphoribosylformylglycinamidine synthase	-
NC_000911.1	CDS	80938	81690	SGL_RS02225	slr1122	hypothetical protein	+
NC_000911.1	CDS	81696	82259	SGL_RS02230	sll1054	NUDIX hydrolase	-
NC_000911.1	CDS	82291	83853	SGL_RS02235	sll1053	efflux RND transporter periplasmic adaptor	-
NC_000911.1	CDS	84122	84697	SGL_RS02240	slr1123	guanylate kinase	+
NC_000911.1	CDS	84776	86107	SGL_RS02245	slr1124	histidine phosphatase family protein	+
NC_000911.1	CDS	86159	87418	SGL_RS02250	slr1125	glycosyl transferase family 1	+
